pop,private,obs_het,fis,pi,grp,genome,miss_lvl
Psche,6457,0.04312,0.30886,0.17291,grp,inf,5
Pteri,6010,0.03421,0.30571,0.17174,grp,inf,5
caes,697,0.08027,0.0976,0.11818,phylo,axi,9
duse,497,0.08171,0.1244,0.13924,phylo,axi,9
miss,652,0.07695,0.12939,0.13473,phylo,axi,9
para,665,0.08914,0.15188,0.14697,phylo,axi,9
send,390,0.08837,0.09665,0.13301,phylo,axi,9
caes,1016,0.06875,0.11316,0.11511,phylo,inf,8
duse,742,0.06881,0.14034,0.13502,phylo,inf,8
miss,943,0.06418,0.14337,0.13175,phylo,inf,8
para,1043,0.07736,0.17235,0.14523,phylo,inf,8
send,663,0.0812,0.12385,0.14014,phylo,inf,8
caes,323,0.08879,0.07649,0.11591,phylo,axi,95
duse,254,0.09119,0.10417,0.13734,phylo,axi,95
miss,334,0.08823,0.11781,0.138,phylo,axi,95
para,319,0.09605,0.13688,0.14662,phylo,axi,95
send,189,0.09784,0.0723,0.13065,phylo,axi,95
north,125,0.18585,0.29657,0.27236,alt,nico,5
west,69,0.16013,0.19411,0.23606,alt,nico,5
south,162,0.16375,0.36667,0.26354,alt,nico,5
Preit,75,0.12467,0.16903,0.18489,grp,hab,8
Psaxi,31,0.11431,0.11108,0.16348,grp,hab,8
Psche,202,0.11668,0.24007,0.2162,grp,hab,8
Pteri,210,0.09194,0.31825,0.22612,grp,hab,8
north,136,0.2578,0.09107,0.26971,alt,sec,95
west,141,0.21409,0.08832,0.24188,alt,sec,95
south,162,0.23273,0.15535,0.26241,alt,sec,95
north,8,0.3279,-0.00799,0.30275,alt,hab,95
west,9,0.29704,-0.00676,0.2824,alt,hab,95
south,13,0.29443,0.05685,0.29123,alt,hab,95
Preit,30,0.15329,0.12511,0.19102,grp,nico,9
Psaxi,10,0.13703,0.07218,0.16898,grp,nico,9
Psche,93,0.13895,0.19368,0.22035,grp,nico,9
Pteri,99,0.10874,0.2803,0.22281,grp,nico,9
caes,547,0.06355,0.11881,0.11683,phylo,nico,5
duse,483,0.06027,0.16053,0.14217,phylo,nico,5
miss,580,0.05778,0.1504,0.13343,phylo,nico,5
para,722,0.07382,0.19146,0.15744,phylo,nico,5
send,432,0.0738,0.14227,0.14618,phylo,nico,5
north,33,0.24662,0.16767,0.28487,alt,hab,8
west,29,0.21352,0.12972,0.25822,alt,hab,8
south,51,0.21927,0.23005,0.27579,alt,hab,8
north,307,0.23515,0.15954,0.27144,alt,axi,9
west,296,0.19137,0.13334,0.23826,alt,axi,9
south,348,0.21002,0.22446,0.26215,alt,axi,9
caes,135,0.12077,0.06485,0.14344,phylo,hab,9
duse,105,0.10725,0.12359,0.16338,phylo,hab,9
miss,124,0.09796,0.12171,0.15288,phylo,hab,9
para,138,0.13296,0.11313,0.17338,phylo,hab,9
send,76,0.1263,0.05956,0.15311,phylo,hab,9
north,1388,0.16642,0.33551,0.26641,alt,inf,5
west,937,0.13491,0.21024,0.22062,alt,inf,5
south,1571,0.14511,0.39438,0.25428,alt,inf,5
caes,1112,0.07157,0.11363,0.11816,phylo,aaxi,8
duse,794,0.07103,0.14028,0.13721,phylo,aaxi,8
miss,1019,0.06571,0.14013,0.13162,phylo,aaxi,8
para,1129,0.07956,0.17192,0.14813,phylo,aaxi,8
send,662,0.0801,0.12215,0.13826,phylo,aaxi,8
Preit,2869,0.05408,0.23344,0.14484,grp,aaxi,5
Psaxi,1245,0.0529,0.11918,0.11199,grp,aaxi,5
Psche,6237,0.04654,0.31532,0.17792,grp,aaxi,5
Pteri,5629,0.03543,0.30748,0.17404,grp,aaxi,5
Preit,67,0.11061,0.13265,0.15081,grp,inf,95
Psaxi,16,0.08874,0.05799,0.1127,grp,inf,95
Psche,138,0.07866,0.1833,0.15731,grp,inf,95
Pteri,189,0.07706,0.28623,0.19429,grp,inf,95
caes,2029,0.05045,0.13261,0.11162,phylo,sec,5
duse,1602,0.05099,0.15793,0.13174,phylo,sec,5
miss,1890,0.04706,0.14383,0.11989,phylo,sec,5
para,2356,0.05774,0.19138,0.14238,phylo,sec,5
send,1535,0.0606,0.14605,0.13522,phylo,sec,5
Preit,52,0.11781,0.11022,0.151,grp,sec,95
Psaxi,16,0.11326,0.04677,0.13239,grp,sec,95
Psche,128,0.10005,0.1684,0.16997,grp,sec,95
Pteri,155,0.08963,0.26614,0.1988,grp,sec,95
Preit,444,0.07347,0.25407,0.17449,grp,nico,5
Psaxi,192,0.07117,0.13415,0.13829,grp,nico,5
Psche,905,0.06381,0.31982,0.19603,grp,nico,5
Pteri,820,0.05143,0.3244,0.19843,grp,nico,5
caes,165,0.11053,0.06908,0.1341,phylo,nico,9
duse,132,0.10298,0.1201,0.15824,phylo,nico,9
miss,187,0.09795,0.12504,0.15402,phylo,nico,9
para,186,0.12582,0.12427,0.16905,phylo,nico,9
send,93,0.11369,0.07612,0.14818,phylo,nico,9
caes,432,0.0698,0.12167,0.12487,phylo,hab,5
duse,356,0.06535,0.15701,0.14552,phylo,hab,5
miss,421,0.05967,0.15147,0.13663,phylo,hab,5
para,534,0.07902,0.17773,0.15689,phylo,hab,5
send,325,0.0821,0.13109,0.14911,phylo,hab,5
north,308,0.23533,0.15923,0.27134,alt,inf,9
west,347,0.19251,0.1343,0.23959,alt,inf,9
south,389,0.21029,0.22224,0.2616,alt,inf,9
north,11,0.30294,0.01963,0.29009,alt,nico,95
west,10,0.26604,0.02441,0.26601,alt,nico,95
south,16,0.26926,0.09558,0.27721,alt,nico,95
north,1312,0.16781,0.33255,0.26774,alt,axi,5
west,826,0.1363,0.21152,0.22243,alt,axi,5
south,1440,0.14592,0.39568,0.25574,alt,axi,5
Preit,257,0.09445,0.15461,0.14617,grp,aaxi,9
Psaxi,97,0.08746,0.07684,0.12089,grp,aaxi,9
Psche,696,0.08051,0.23553,0.17903,grp,aaxi,9
Pteri,697,0.06444,0.29875,0.18667,grp,aaxi,9
Preit,51,0.11661,0.11365,0.14931,grp,aaxi,95
Psaxi,19,0.10824,0.05626,0.13212,grp,aaxi,95
Psche,148,0.10145,0.19292,0.18263,grp,aaxi,95
Pteri,156,0.08058,0.27243,0.19156,grp,aaxi,95
caes,639,0.0827,0.0982,0.12129,phylo,sec,9
